Instance,GomoryPasses,MIRCuts,FlowCoverCuts,CliqueCuts,Runtime_sec,NodeCount
assign1-5-8.mps,-1,-1,-1,-1,120.03593564033508,447746.0
assign1-5-8.mps,-1,-1,-1,0,120.03639793395996,468055.0
assign1-5-8.mps,-1,-1,-1,1,120.04380631446838,282300.0
assign1-5-8.mps,-1,-1,0,-1,120.05934453010559,235952.0
assign1-5-8.mps,-1,-1,0,0,120.0532500743866,469718.0
assign1-5-8.mps,-1,-1,0,1,120.03576111793518,412339.0
assign1-5-8.mps,-1,-1,1,-1,120.02932715415955,512595.0
assign1-5-8.mps,-1,-1,1,0,120.04437589645386,355843.0
assign1-5-8.mps,-1,-1,1,1,120.0624430179596,335530.0
assign1-5-8.mps,-1,0,-1,-1,120.04152798652649,489519.0
assign1-5-8.mps,-1,0,-1,0,120.04556465148926,453274.0
assign1-5-8.mps,-1,0,-1,1,120.03551578521729,362956.0
assign1-5-8.mps,-1,0,0,-1,120.03921866416931,411741.0
assign1-5-8.mps,-1,0,0,0,120.03720450401306,482440.0
assign1-5-8.mps,-1,0,0,1,120.04268836975098,456475.0
assign1-5-8.mps,-1,0,1,-1,120.04817008972168,363086.0
assign1-5-8.mps,-1,0,1,0,120.05009818077087,488359.0
assign1-5-8.mps,-1,0,1,1,120.0540680885315,318161.0
assign1-5-8.mps,-1,1,-1,-1,120.04177784919739,452180.0
assign1-5-8.mps,-1,1,-1,0,120.04177713394165,434590.0
assign1-5-8.mps,-1,1,-1,1,120.0440456867218,382116.0
assign1-5-8.mps,-1,1,0,-1,120.03449630737305,371860.0
assign1-5-8.mps,-1,1,0,0,120.03600406646729,428246.0
assign1-5-8.mps,-1,1,0,1,120.05861449241638,460015.0
assign1-5-8.mps,-1,1,1,-1,120.04047703742981,414306.0
assign1-5-8.mps,-1,1,1,0,120.05885195732117,420417.0
assign1-5-8.mps,-1,1,1,1,120.06707000732422,413052.0
assign1-5-8.mps,0,-1,-1,-1,120.03427124023438,401431.0
assign1-5-8.mps,0,-1,-1,0,120.04521870613098,476348.0
assign1-5-8.mps,0,-1,-1,1,120.0421233177185,384655.0
assign1-5-8.mps,0,-1,0,-1,120.06770300865173,450071.0
assign1-5-8.mps,0,-1,0,0,120.04660987854004,420155.0
assign1-5-8.mps,0,-1,0,1,120.05552673339844,371957.0
assign1-5-8.mps,0,-1,1,-1,120.03226065635681,527153.0
assign1-5-8.mps,0,-1,1,0,120.0252890586853,523604.0
assign1-5-8.mps,0,-1,1,1,120.0253312587738,595022.0
assign1-5-8.mps,0,0,-1,-1,120.02384209632874,719274.0
assign1-5-8.mps,0,0,-1,0,120.03441095352173,571859.0
assign1-5-8.mps,0,0,-1,1,120.03257775306702,642489.0
assign1-5-8.mps,0,0,0,-1,120.0421416759491,643379.0
assign1-5-8.mps,0,0,0,0,120.02483749389648,438673.0
assign1-5-8.mps,0,0,0,1,120.03319048881531,595121.0
assign1-5-8.mps,0,0,1,-1,120.02666163444519,649668.0
assign1-5-8.mps,0,0,1,0,120.03261828422546,405438.0
assign1-5-8.mps,0,0,1,1,120.0338306427002,552516.0
assign1-5-8.mps,0,1,-1,-1,120.02912783622742,492973.0
assign1-5-8.mps,0,1,-1,0,120.0939691066742,610221.0
assign1-5-8.mps,0,1,-1,1,120.02745318412781,682180.0
assign1-5-8.mps,0,1,0,-1,120.02186417579651,695361.0
assign1-5-8.mps,0,1,0,0,120.0332682132721,596918.0
assign1-5-8.mps,0,1,0,1,120.02423477172852,636031.0
assign1-5-8.mps,0,1,1,-1,120.03834891319275,648911.0
assign1-5-8.mps,0,1,1,0,120.04722619056702,610564.0
assign1-5-8.mps,0,1,1,1,120.02726817131042,638223.0
assign1-5-8.mps,1,-1,-1,-1,120.03488850593567,655351.0
assign1-5-8.mps,1,-1,-1,0,120.02978992462158,691490.0
assign1-5-8.mps,1,-1,-1,1,120.02907371520996,630820.0
assign1-5-8.mps,1,-1,0,-1,120.04105544090271,732823.0
assign1-5-8.mps,1,-1,0,0,120.03580856323242,650325.0
assign1-5-8.mps,1,-1,0,1,120.02888083457947,635811.0
assign1-5-8.mps,1,-1,1,-1,120.03139519691467,458602.0
assign1-5-8.mps,1,-1,1,0,120.03992509841919,698873.0
assign1-5-8.mps,1,-1,1,1,120.04246878623962,580224.0
assign1-5-8.mps,1,0,-1,-1,120.03493857383728,644250.0
assign1-5-8.mps,1,0,-1,0,120.03742051124573,642828.0
assign1-5-8.mps,1,0,-1,1,120.04003643989563,623459.0
assign1-5-8.mps,1,0,0,-1,120.03824806213379,727595.0
assign1-5-8.mps,1,0,0,0,120.0418176651001,643175.0
assign1-5-8.mps,1,0,0,1,120.03493690490723,663684.0
assign1-5-8.mps,1,0,1,-1,120.03120160102844,674982.0
assign1-5-8.mps,1,0,1,0,120.03677344322205,594785.0
assign1-5-8.mps,1,0,1,1,120.0427885055542,661652.0
assign1-5-8.mps,1,1,-1,-1,120.02817797660828,670613.0
assign1-5-8.mps,1,1,-1,0,120.02940249443054,731236.0
assign1-5-8.mps,1,1,-1,1,120.02870440483093,684496.0
assign1-5-8.mps,1,1,0,-1,120.02285504341125,663048.0
assign1-5-8.mps,1,1,0,0,120.04857850074768,580855.0
assign1-5-8.mps,1,1,0,1,120.02482771873474,639777.0
assign1-5-8.mps,1,1,1,-1,120.0474112033844,655109.0
assign1-5-8.mps,1,1,1,0,120.02797031402588,640386.0
assign1-5-8.mps,1,1,1,1,120.0425226688385,645027.0
enlight_hard.mps,-1,-1,-1,-1,0.025160789489746094,0.0
enlight_hard.mps,-1,-1,-1,0,0.036131858825683594,0.0
enlight_hard.mps,-1,-1,-1,1,0.022982358932495117,0.0
enlight_hard.mps,-1,-1,0,-1,0.02464890480041504,0.0
enlight_hard.mps,-1,-1,0,0,0.026932954788208008,0.0
enlight_hard.mps,-1,-1,0,1,0.023006916046142578,0.0
enlight_hard.mps,-1,-1,1,-1,0.03401470184326172,0.0
enlight_hard.mps,-1,-1,1,0,0.032500267028808594,0.0
enlight_hard.mps,-1,-1,1,1,0.03189206123352051,0.0
enlight_hard.mps,-1,0,-1,-1,0.027812480926513672,0.0
enlight_hard.mps,-1,0,-1,0,0.03125643730163574,0.0
enlight_hard.mps,-1,0,-1,1,0.0284726619720459,0.0
enlight_hard.mps,-1,0,0,-1,0.0272064208984375,0.0
enlight_hard.mps,-1,0,0,0,0.02754497528076172,0.0
enlight_hard.mps,-1,0,0,1,0.029647350311279297,0.0
enlight_hard.mps,-1,0,1,-1,0.03254222869873047,0.0
enlight_hard.mps,-1,0,1,0,0.02312779426574707,0.0
enlight_hard.mps,-1,0,1,1,0.025604963302612305,0.0
enlight_hard.mps,-1,1,-1,-1,0.023626089096069336,0.0
enlight_hard.mps,-1,1,-1,0,0.028034448623657227,0.0
enlight_hard.mps,-1,1,-1,1,0.02446126937866211,0.0
enlight_hard.mps,-1,1,0,-1,0.02600383758544922,0.0
enlight_hard.mps,-1,1,0,0,0.02953052520751953,0.0
enlight_hard.mps,-1,1,0,1,0.024869918823242188,0.0
enlight_hard.mps,-1,1,1,-1,0.02292323112487793,0.0
enlight_hard.mps,-1,1,1,0,0.021518230438232422,0.0
enlight_hard.mps,-1,1,1,1,0.0245361328125,0.0
enlight_hard.mps,0,-1,-1,-1,0.020713329315185547,0.0
enlight_hard.mps,0,-1,-1,0,0.023555517196655273,0.0
enlight_hard.mps,0,-1,-1,1,0.02400994300842285,0.0
enlight_hard.mps,0,-1,0,-1,0.03637814521789551,0.0
enlight_hard.mps,0,-1,0,0,0.027926206588745117,0.0
enlight_hard.mps,0,-1,0,1,0.02359604835510254,0.0
enlight_hard.mps,0,-1,1,-1,0.025948762893676758,0.0
enlight_hard.mps,0,-1,1,0,0.021918058395385742,0.0
enlight_hard.mps,0,-1,1,1,0.020149946212768555,0.0
enlight_hard.mps,0,0,-1,-1,0.02199268341064453,0.0
enlight_hard.mps,0,0,-1,0,0.02649402618408203,0.0
enlight_hard.mps,0,0,-1,1,0.019781112670898438,0.0
enlight_hard.mps,0,0,0,-1,0.02315068244934082,0.0
enlight_hard.mps,0,0,0,0,0.020219802856445312,0.0
enlight_hard.mps,0,0,0,1,0.015949010848999023,0.0
enlight_hard.mps,0,0,1,-1,0.022982358932495117,0.0
enlight_hard.mps,0,0,1,0,0.022176504135131836,0.0
enlight_hard.mps,0,0,1,1,0.02544426918029785,0.0
enlight_hard.mps,0,1,-1,-1,0.024916887283325195,0.0
enlight_hard.mps,0,1,-1,0,0.02039313316345215,0.0
enlight_hard.mps,0,1,-1,1,0.019593238830566406,0.0
enlight_hard.mps,0,1,0,-1,0.02052927017211914,0.0
enlight_hard.mps,0,1,0,0,0.01920008659362793,0.0
enlight_hard.mps,0,1,0,1,0.01969170570373535,0.0
enlight_hard.mps,0,1,1,-1,0.01826024055480957,0.0
enlight_hard.mps,0,1,1,0,0.01998114585876465,0.0
enlight_hard.mps,0,1,1,1,0.01646733283996582,0.0
enlight_hard.mps,1,-1,-1,-1,0.01553964614868164,0.0
enlight_hard.mps,1,-1,-1,0,0.017149686813354492,0.0
enlight_hard.mps,1,-1,-1,1,0.016826629638671875,0.0
enlight_hard.mps,1,-1,0,-1,0.016764163970947266,0.0
enlight_hard.mps,1,-1,0,0,0.016634702682495117,0.0
enlight_hard.mps,1,-1,0,1,0.01672673225402832,0.0
enlight_hard.mps,1,-1,1,-1,0.01760101318359375,0.0
enlight_hard.mps,1,-1,1,0,0.015946626663208008,0.0
enlight_hard.mps,1,-1,1,1,0.016672611236572266,0.0
enlight_hard.mps,1,0,-1,-1,0.018581867218017578,0.0
enlight_hard.mps,1,0,-1,0,0.016303539276123047,0.0
enlight_hard.mps,1,0,-1,1,0.014959096908569336,0.0
enlight_hard.mps,1,0,0,-1,0.016379117965698242,0.0
enlight_hard.mps,1,0,0,0,0.016173601150512695,0.0
enlight_hard.mps,1,0,0,1,0.016944408416748047,0.0
enlight_hard.mps,1,0,1,-1,0.017939329147338867,0.0
enlight_hard.mps,1,0,1,0,0.020529508590698242,0.0
enlight_hard.mps,1,0,1,1,0.01793813705444336,0.0
enlight_hard.mps,1,1,-1,-1,0.015946388244628906,0.0
enlight_hard.mps,1,1,-1,0,0.016943931579589844,0.0
enlight_hard.mps,1,1,-1,1,0.015956878662109375,0.0
enlight_hard.mps,1,1,0,-1,0.01793050765991211,0.0
enlight_hard.mps,1,1,0,0,0.016954421997070312,0.0
enlight_hard.mps,1,1,0,1,0.01853466033935547,0.0
enlight_hard.mps,1,1,1,-1,0.017394065856933594,0.0
enlight_hard.mps,1,1,1,0,0.017007112503051758,0.0
enlight_hard.mps,1,1,1,1,0.017948627471923828,0.0
gen-ip002.mps,-1,-1,-1,-1,120.01714825630188,2786435.0
gen-ip002.mps,-1,-1,-1,0,120.02446627616882,2772126.0
gen-ip002.mps,-1,-1,-1,1,120.01721215248108,2805837.0
gen-ip002.mps,-1,-1,0,-1,120.0270516872406,2788415.0
gen-ip002.mps,-1,-1,0,0,120.02175831794739,2797706.0
gen-ip002.mps,-1,-1,0,1,120.02379083633423,2784569.0
gen-ip002.mps,-1,-1,1,-1,120.02178144454956,2776736.0
gen-ip002.mps,-1,-1,1,0,120.02072954177856,2815012.0
gen-ip002.mps,-1,-1,1,1,120.02589702606201,2785965.0
gen-ip002.mps,-1,0,-1,-1,120.02325224876404,2815099.0
gen-ip002.mps,-1,0,-1,0,120.0217227935791,2787655.0
gen-ip002.mps,-1,0,-1,1,120.02205729484558,2803665.0
gen-ip002.mps,-1,0,0,-1,120.02011489868164,2800100.0
gen-ip002.mps,-1,0,0,0,120.01994061470032,2807022.0
gen-ip002.mps,-1,0,0,1,120.01973390579224,2760890.0
gen-ip002.mps,-1,0,1,-1,120.02484393119812,2778658.0
gen-ip002.mps,-1,0,1,0,120.01984810829163,2745530.0
gen-ip002.mps,-1,0,1,1,120.02131175994873,2793535.0
gen-ip002.mps,-1,1,-1,-1,120.02257013320923,2763767.0
gen-ip002.mps,-1,1,-1,0,120.02439618110657,2761304.0
gen-ip002.mps,-1,1,-1,1,120.02167677879333,2743479.0
gen-ip002.mps,-1,1,0,-1,120.02068543434143,2785937.0
gen-ip002.mps,-1,1,0,0,120.02310705184937,2776402.0
gen-ip002.mps,-1,1,0,1,120.02646446228027,2788022.0
gen-ip002.mps,-1,1,1,-1,120.01980566978455,2670345.0
gen-ip002.mps,-1,1,1,0,120.02494430541992,2799868.0
gen-ip002.mps,-1,1,1,1,120.02265477180481,2734829.0
gen-ip002.mps,0,-1,-1,-1,120.0193932056427,3088061.0
gen-ip002.mps,0,-1,-1,0,120.02553915977478,3071406.0
gen-ip002.mps,0,-1,-1,1,120.02151131629944,3065013.0
gen-ip002.mps,0,-1,0,-1,120.02202558517456,3034343.0
gen-ip002.mps,0,-1,0,0,120.02227973937988,3061465.0
gen-ip002.mps,0,-1,0,1,120.01797485351562,3086689.0
gen-ip002.mps,0,-1,1,-1,120.01782965660095,3032924.0
gen-ip002.mps,0,-1,1,0,120.01926589012146,3056246.0
gen-ip002.mps,0,-1,1,1,120.01916432380676,3033495.0
gen-ip002.mps,0,0,-1,-1,120.02087044715881,3060824.0
gen-ip002.mps,0,0,-1,0,120.01545834541321,3065140.0
gen-ip002.mps,0,0,-1,1,120.02196335792542,3080550.0
gen-ip002.mps,0,0,0,-1,120.0172393321991,3091289.0
gen-ip002.mps,0,0,0,0,120.02190947532654,3068608.0
gen-ip002.mps,0,0,0,1,120.02111315727234,3062733.0
gen-ip002.mps,0,0,1,-1,120.02115297317505,3025089.0
gen-ip002.mps,0,0,1,0,120.02148079872131,3032398.0
gen-ip002.mps,0,0,1,1,120.02366256713867,3003451.0
gen-ip002.mps,0,1,-1,-1,120.02911138534546,3044007.0
gen-ip002.mps,0,1,-1,0,120.01510715484619,2980103.0
gen-ip002.mps,0,1,-1,1,120.02756762504578,2991583.0
gen-ip002.mps,0,1,0,-1,120.01634478569031,3034576.0
gen-ip002.mps,0,1,0,0,120.02138686180115,2989629.0
gen-ip002.mps,0,1,0,1,120.01600241661072,3054113.0
gen-ip002.mps,0,1,1,-1,120.01766276359558,3076421.0
gen-ip002.mps,0,1,1,0,120.02109360694885,3056381.0
gen-ip002.mps,0,1,1,1,120.015300989151,3043210.0
gen-ip002.mps,1,-1,-1,-1,120.01895546913147,2802374.0
gen-ip002.mps,1,-1,-1,0,120.02354645729065,2882319.0
gen-ip002.mps,1,-1,-1,1,120.020423412323,2853904.0
gen-ip002.mps,1,-1,0,-1,120.01788568496704,2899678.0
gen-ip002.mps,1,-1,0,0,120.02230930328369,2909643.0
gen-ip002.mps,1,-1,0,1,120.0233142375946,2902413.0
gen-ip002.mps,1,-1,1,-1,120.02106380462646,2873913.0
gen-ip002.mps,1,-1,1,0,120.01622724533081,2918317.0
gen-ip002.mps,1,-1,1,1,120.02056932449341,2923653.0
gen-ip002.mps,1,0,-1,-1,120.02287244796753,2865158.0
gen-ip002.mps,1,0,-1,0,120.02382159233093,2875053.0
gen-ip002.mps,1,0,-1,1,120.02096700668335,2884476.0
gen-ip002.mps,1,0,0,-1,120.02306413650513,2863816.0
gen-ip002.mps,1,0,0,0,120.02265906333923,2876129.0
gen-ip002.mps,1,0,0,1,120.01786065101624,2872435.0
gen-ip002.mps,1,0,1,-1,120.0185112953186,2315854.0
gen-ip002.mps,1,0,1,0,120.02043056488037,2472961.0
gen-ip002.mps,1,0,1,1,120.02208614349365,2479773.0
gen-ip002.mps,1,1,-1,-1,120.02090716362,2374470.0
